0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,31,UTTAR PRADESH,3133,RAE BARELI,690805,243.9965441,18,162,109.0736515,3516,11,21561,790594,449802,125831,368,142,0,2038.095689,43092,47718,154844,244600,8,305817,442064,25077,1929.022038,391050,12,49.09,71.98,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3135,ETAWAH,234376,260.8988462,16,50,49.213,782,42,10482,256432,82456,35993,226,134,0,718.2411292,15698,16568,77562,97937,2,138594,167280,11264,669.0281292,79401,28,59.61,60.61,100.72,NA
2025-2026,June,31,UTTAR PRADESH,3145,PRAYAGRAJ,932931,251.3864539,20,122,133.4793832,7653,7,26592,1141363,553416,150709,643,137,0,3002.711355,56058,64408,219989,318998,30,469311,646863,34245,2869.231971,550606,25,50.5,79.03,100.04,NA
2025-2026,June,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,3362396,251.3822382,29,172,63.74924,2990,24,25140,4223381,1013717,82180,230,17,0,10680.57893,141694,155597,256973,348796,34,382851,510065,28130,10616.82969,2486821,13,69.87,90.1,100,NA
2025-2026,June,31,UTTAR PRADESH,3152,MAHARAJGANJ,2383496,253.8118835,26,294,49.80542,4152,2,29044,3021271,683687,75717,14023,1735,0,7718.150249,114331,132138,226907,336703,85,375799,530957,33196,7668.344829,1639477,16,62.2,90.57,100,NA
2025-2026,June,31,UTTAR PRADESH,3155,DEORIA,924197,251.7067426,25,73,101.90005,2253,107,19633,1284341,293216,37961,46542,5606,0,3334.672945,50976,53985,121367,152887,1,225719,281998,21886,3232.772895,553881,12,61.95,92.33,100.04,NA
2025-2026,June,31,UTTAR PRADESH,3156,MAU,1352630,248.718288,27,339,252.8047752,3706,24,17721,1833538,665359,73856,26081,2788,0,4813.149099,67489,76432,141781,202545,32,251080,340795,21427,4560.344324,998481,22,52.86,91.22,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3158,JAUNPUR,2494767,252.2967332,23,449,87.158167,10520,96,34796,2185910,744388,142604,79,28,0,5602.137687,93575,97696,296591,396832,4,482394,642661,45316,5514.97952,1146755,39,67.42,85.47,100.33,NA
2025-2026,June,31,UTTAR PRADESH,3160,GHAZIPUR,1729486,243.0996344,21,151,46.8962511,6619,67,23758,2040375,502610,93932,18655,3411,0,5007.040416,95276,107135,279782,371422,0,464782,602123,30377,4960.144165,983606,20,32.29,78.7,100.12,NA
2025-2026,June,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,0,0,0,0,0,0,89,259,0,0,173,0,11,0,0,0,0,517,553,0,11330,12756,259,0,0,11,0,0,0,NA
2025-2026,June,31,UTTAR PRADESH,3166,HATHRAS,171354,245.5172753,17,42,22.6937712,547,19,7321,342043,112978,21730,340,51,0,862.4684251,19172,21761,47716,65322,1,81643,105967,7868,839.7746539,82143,5,60.75,83.93,100,NA
2025-2026,June,31,UTTAR PRADESH,3169,AURAIYA,505973,252.5509031,26,77,44.890426,1632,45,12782,1166656,405192,44869,4495,371,0,2991.290691,43764,46920,87467,110422,18,142017,173986,14414,2946.400265,412726,18,54.6,70.55,100,NA
2025-2026,June,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,1786373,254.3914531,26,191,86.8357792,6208,32,18006,2108624,687283,74769,2525,201,0,5450.995014,78335,83848,177895,223658,14,266423,336280,24214,5364.159235,1178428,35,58.78,94.38,100,NA
2025-2026,June,31,UTTAR PRADESH,3181,AMETHI,699009,252.4381024,23,77,48.1432006,2781,27,16743,657653,204261,54238,156,12,0,1708.309955,28553,31092,129329,178343,1,231396,302861,19524,1660.166754,264515,25,41.87,71,100.04,NA
2025-2026,June,31,UTTAR PRADESH,3182,HAPUR,23141,242.460741,15,3,0.3915,115,14,1589,36209,20426,4416,1,4,0,88.1841097,2317,2557,8191,9689,0,16891,20618,1704,87.7926097,15868,4,89.1,99.96,100.21,NA
2025-2026,June,31,UTTAR PRADESH,3183,SHAMLI,36297,252.6592288,22,54,5.62265,510,35,4504,95941,13008,3428,102,54,0,248.0264407,4273,5001,16489,21393,0,48122,58257,5014,242.4037907,33193,12,59.94,83.19,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,130649,245.0025183,16,9,15.5338178,2193,58,4813,119941,30355,11551,233,76,0,309.3922883,7161,8310,31433,41412,3,78337,97006,7006,293.8584705,47427,8,66.71,75.49,100.2,NA
2025-2026,July,31,UTTAR PRADESH,3116,GHAZIABAD,0,119.2470588,9,0,0,1,143,22,153,51,13,0,0,0,0.182448,17,20,28,47,0,13073,19286,23,0.182448,78,8,24.03,89.52,100,NA
2025-2026,July,31,UTTAR PRADESH,3117,BULANDSHAHR,140915,239.4915824,18,40,15.71288,375,87,10769,196577,42117,9556,88,40,0,486.4982479,10813,11337,36604,45737,1,89888,109886,11144,470.7853679,75318,7,70.12,79.62,100.15,NA
2025-2026,July,31,UTTAR PRADESH,3120,AGRA,1266361,249.7591091,24,125,65.6361765,602,31,16565,1391193,392593,52325,6037,733,0,3540.267419,57302,71437,120536,174524,4,188021,261940,17167,3474.631243,575881,28,44.99,83.97,100.09,NA
2025-2026,July,31,UTTAR PRADESH,3121,FIROZABAD,1226464,247.6424426,24,173,28.3017371,2463,30,14831,1344430,353728,34633,2014,212,0,3357.681028,54169,55949,107705,134745,10,160375,199825,17294,3329.379291,552699,18,70.02,81.25,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3124,BUDAUN,1228992,250.8944743,20,261,39.00882,1676,75,20213,780049,138091,35113,595,160,0,1996.108658,38816,41364,135267,175419,3,238251,302333,21889,1957.099838,180109,18,65.85,73.34,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1004169,247.5696126,18,482,25.2486586,3027,29,18788,885179,255691,67245,451,85,0,2216.68288,48531,54188,161491,227286,5,344878,450120,21815,2191.434221,190958,20,71.22,75.69,100.06,NA
2025-2026,July,31,UTTAR PRADESH,3133,RAE BARELI,879610,241.0352052,18,162,109.0736515,3545,11,21598,818100,465372,125845,413,142,0,2080.982665,43677,48439,154855,244624,10,305837,442089,25143,1971.909013,405414,12,49.16,72.03,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3134,FARRUKHABAD,484896,250.1483777,22,43,20.12551,878,13,10835,406609,87958,22418,20,8,0,1037.251327,18285,19680,69238,91001,1,113497,142359,11713,1017.125817,107897,16,64.72,95,100.01,NA
2025-2026,July,31,UTTAR PRADESH,3142,BANDA,876004,253.4209078,24,229,35.7863444,2986,6,17243,533946,126108,46591,190,44,0,1388.917145,21806,27897,121343,195340,3,230074,356958,20229,1353.130801,247943,54,52.8,77.18,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3144,PRATAPGARH,1511875,263.4064088,26,219,95.51888,7395,65,23556,1563162,586687,94580,4514,540,0,4212.987769,58004,60332,194492,249427,5,360252,459585,30951,4117.468889,836245,27,42.77,88.76,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3155,DEORIA,1183376,250.5953549,25,73,101.90005,2292,100,19659,1317956,302041,37973,48358,5606,0,3404.636566,51709,54761,121383,152917,1,225734,282021,21951,3302.736516,568589,12,61.48,91.99,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3160,GHAZIPUR,2637202,242.7098741,21,152,46.8962511,6688,65,23728,2092223,516071,93935,19317,3415,0,5124.92806,96535,108657,279800,371449,0,464822,602190,30416,5078.031809,1005831,20,32.16,78.67,100.11,NA
2025-2026,July,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2141261,253.914775,27,193,86.8357792,6252,32,18065,2151934,700661,74789,2597,201,0,5550.914154,79055,84624,177933,223724,14,266432,336309,24317,5464.078375,1202301,35,59.06,94.45,100,NA
2025-2026,July,31,UTTAR PRADESH,3177,CHITRAKOOT,503130,249.3983358,24,122,42.69537,2233,11,12045,420345,159869,58224,239,29,0,1091.028805,17070,21613,80236,132985,16,143313,229609,14278,1048.333435,214845,56,66.83,81.37,100.25,NA
2025-2026,July,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1208053,247.8806936,24,95,21.00776,2425,71,23486,1208261,471985,77393,2512,449,0,3016.053507,50290,54603,150531,201998,33,272951,350153,25911,2995.045747,607637,24,47.65,92.67,100.06,NA
2025-2026,July,31,UTTAR PRADESH,3180,KASHGANJ,495794,250.19896,14,219,41.4714,1084,17,8518,355465,80927,25561,409,87,0,930.8411331,25186,27976,79063,112476,0,114418,156090,9602,889.3697331,81696,9,55.74,91.79,100,NA
2025-2026,June,31,UTTAR PRADESH,3112,SAHARANPUR,281898,254.4750697,14,16,45.01725,717,20,14788,453453,204084,66036,858,279,0,1198.942088,31370,35395,85127,127589,2,165107,228500,15505,1153.924838,184326,19,74.88,82.58,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3115,MEERUT,119469,244.9289753,23,31,8.22709,1727,55,4067,189185,91017,11908,1645,138,0,471.595972,7970,8576,22374,26724,1,47780,56269,5794,463.368882,72072,15,30.08,75.64,100.09,NA
2025-2026,June,31,UTTAR PRADESH,3117,BULANDSHAHR,87224,234.308193,17,40,15.71288,353,91,10724,180910,38608,9548,88,40,0,439.599832,10501,11008,36549,45655,0,89633,109621,11077,423.886952,68706,7,68.99,79.08,100.16,NA
2025-2026,June,31,UTTAR PRADESH,3118,ALIGARH,641906,240.2195274,16,170,52.6577857,944,16,18668,583176,133108,37904,720,203,0,1453.560417,36282,40057,118458,153919,2,197998,250740,19612,1400.902631,191375,20,60.62,68.84,100.1,NA
2025-2026,June,31,UTTAR PRADESH,3123,MAINPURI,961838,248.5105401,26,106,35.34551,3227,9,15432,1490642,372888,43433,3330,321,0,3739.747996,55212,61448,124003,163250,100,201316,256889,18659,3704.402486,540782,23,72.18,87.1,101.05,NA
2025-2026,June,31,UTTAR PRADESH,3134,FARRUKHABAD,307238,248.5787944,20,39,20.12551,869,19,10784,356145,77357,22398,20,8,0,905.4264573,17181,18437,69203,90928,1,113489,142314,11653,885.3009473,93119,16,66.26,94.94,100,NA
2025-2026,June,31,UTTAR PRADESH,3136,KANPUR DEHAT,395488,256.6793104,16,79,58.551049,2035,62,15750,253641,88895,44878,207,109,0,709.5950186,15057,16342,79026,108084,1,159481,207423,17785,651.0439696,90844,30,31.38,53.14,100.2,NA
2025-2026,June,31,UTTAR PRADESH,3137,KANPUR NAGAR,173839,241.7108518,19,61,28.64962,965,58,10182,223688,80719,33211,1615,857,0,569.3277902,11452,12437,55502,79387,1,120117,160247,11147,540.6781702,75057,23,26.94,64.21,100.08,NA
2025-2026,June,31,UTTAR PRADESH,3138,JALAUN,2062352,241.3659163,31,432,49.05307,2512,23,23986,2754451,779301,82896,1058,70,0,6697.358964,86842,110136,177688,261087,107,230156,331480,26498,6648.305894,1097754,38,84.48,92.21,100.39,NA
2025-2026,June,31,UTTAR PRADESH,3145,PRAYAGRAJ,932931,252.3732033,20,120,133.4793832,7643,8,26441,1083191,525156,150680,634,137,0,2867.163208,54040,61969,219942,318911,28,469191,646694,34084,2733.683825,522772,25,51.52,80.79,100.03,NA
2025-2026,June,31,UTTAR PRADESH,3150,SULTANPUR,1539329,249.0878382,27,171,73.90354,4286,47,21191,1962373,485316,74357,4846,597,0,4961.936023,71969,77463,205444,283419,8,351331,485067,25477,4888.032483,965124,26,42.22,72.31,100.27,NA
2025-2026,June,31,UTTAR PRADESH,3160,GHAZIPUR,1729486,240.696404,20,145,46.8962511,6462,76,23687,1891910,468630,93878,17477,3411,0,4600.655589,91619,102787,279602,371194,0,464649,601943,30149,4553.759338,913992,20,32.77,78.89,100.13,NA
2025-2026,June,31,UTTAR PRADESH,3163,SONBHADRA,840782,247.7788266,18,186,127.6131214,2286,6,18423,719658,212711,77339,223302,78223,0,1910.773269,37927,46038,164801,257558,16,276498,417538,20709,1783.160148,403000,40,63.39,82.66,100.02,NA
2025-2026,June,31,UTTAR PRADESH,3165,BAGHPAT,4553,219.1857123,12,0,0.6096,56,179,1782,3594,712,1527,0,4,0,8.4871345,298,328,3549,4617,0,17594,21588,1838,7.8775345,1420,5,91.62,96.48,100,NA
2025-2026,June,31,UTTAR PRADESH,3181,AMETHI,699009,252.4415192,22,76,44.84206,2731,31,16651,604949,187869,54235,137,12,0,1571.984506,27125,29461,129321,178327,0,231363,302797,19382,1527.142446,243105,25,42.93,71.66,100.02,NA
2025-2026,June,31,UTTAR PRADESH,3183,SHAMLI,36297,254.575438,22,53,5.62265,501,36,4387,91096,12341,3428,102,54,0,237.530691,4105,4812,16488,21389,0,48093,58218,4888,231.908041,32286,12,61.18,86.68,100.04,NA
2025-2026,June,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,81260,247.0060395,16,9,15.5338178,2117,63,4857,112257,29039,11543,231,76,0,292.8153876,6927,8038,31471,41404,3,78487,97070,6974,277.2815698,43935,8,66.7,75.42,100.21,NA
2025-2026,June,31,UTTAR PRADESH,3117,BULANDSHAHR,87224,231.1937397,17,40,15.71288,356,91,10742,185358,39810,9554,88,40,0,444.248972,10620,11138,36591,45710,0,89651,109640,11098,428.536092,70544,7,69.46,78.73,100.16,NA
2025-2026,June,31,UTTAR PRADESH,3131,UNNAO,512697,254.9683823,22,102,33.75496,1400,34,21684,801277,274367,60117,2178,289,0,2076.757965,36061,38403,122047,162489,19,273637,353884,23084,2043.003005,292026,25,42.76,70.21,100.01,NA
2025-2026,June,31,UTTAR PRADESH,3137,KANPUR NAGAR,173839,240.2982,19,61,28.64962,967,58,10195,228293,82396,33213,1637,857,0,577.2335898,11600,12604,55497,79385,1,120119,160255,11162,548.5839698,76336,23,27.42,64.03,100.08,NA
2025-2026,June,31,UTTAR PRADESH,3139,JHANSI,1091477,247.7907512,30,489,156.03905,1937,27,17192,1073790,348409,55652,9493,1331,0,2816.791357,35271,45576,104397,167039,94,192112,298187,19129,2660.752307,438987,41,67.42,85.6,100.01,NA
2025-2026,June,31,UTTAR PRADESH,3141,HAMIRPUR,898955,248.2288881,27,99,19.76854,612,0,15913,1235942,239214,40824,726,76,0,3087.733624,44274,58869,113877,184036,43,179390,287797,16525,3067.965084,534683,44,53.45,91.33,100,NA
2025-2026,June,31,UTTAR PRADESH,3150,SULTANPUR,1539329,246.1013097,27,181,73.90354,4308,46,21236,2000695,493866,74366,4928,597,0,4997.640139,72453,77969,205461,283452,8,351370,485160,25544,4923.736599,984474,26,41.47,71.46,100.27,NA
2025-2026,June,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,3362396,249.5035364,29,166,63.74924,2882,25,25048,4073776,977193,82154,221,17,0,10227.96443,140317,153983,256929,348741,25,382845,510054,27930,10164.21519,2398023,13,70.18,90.53,100,NA
2025-2026,June,31,UTTAR PRADESH,3163,SONBHADRA,840782,246.4873276,19,190,127.6131214,2301,6,18463,740201,220998,77349,227405,78223,0,1952.114786,38465,46732,164810,257579,16,276547,417617,20764,1824.501664,414685,40,63.33,82.84,100.02,NA
2025-2026,June,31,UTTAR PRADESH,3168,KANNAUJ,500266,251.6297649,19,100,50.6250858,1111,22,12926,508134,137724,38072,266,19,0,1329.241476,25943,28264,89225,114681,3,140712,175509,14037,1278.61639,175220,22,70.85,87.22,100.16,NA
2025-2026,June,31,UTTAR PRADESH,3171,CHANDAULI,1660740,245.9103283,33,178,102.5681391,2017,98,19541,2746767,651541,62130,12358,1125,0,6857.151887,82887,104218,144325,214809,224,207004,297786,21558,6754.583748,1133704,20,53.12,62.01,100.9,NA
2025-2026,June,31,UTTAR PRADESH,3182,HAPUR,23141,239.7465684,14,3,0.3915,106,14,1560,28785,16652,4416,1,4,0,69.4025497,1996,2204,8191,9689,0,16890,20616,1666,69.0110497,12825,4,87.98,99.95,100.26,NA
2025-2026,June,31,UTTAR PRADESH,3183,SHAMLI,36297,253.2129024,22,53,5.62265,501,36,4407,92456,12405,3428,102,54,0,239.733171,4186,4902,16489,21392,0,48097,58226,4908,234.110521,32710,12,61.62,86.75,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3111,RAMPUR,1333139,248.95729,32,98,40.09731,2304,24,14204,1967275,360017,34715,1124,67,0,4937.771837,60417,69372,111607,147088,72,173175,221208,16508,4897.674527,572874,9,71.16,90.45,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3112,SAHARANPUR,438956,254.1151763,15,16,46.1998548,743,15,15204,543807,243338,66084,1040,279,0,1428.095972,34716,39375,85171,127692,5,165234,228708,15947,1381.896117,218547,19,75.37,82.28,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3121,FIROZABAD,1226464,247.447498,25,178,28.3017371,2606,24,15281,1470712,389050,34672,2186,212,0,3667.541784,57185,59088,107782,134889,10,160605,200298,17887,3639.240046,602611,18,69.95,80.48,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3122,ETAH,451884,251.7158005,24,107,80.6806023,1787,26,13016,770654,147986,20872,533,53,0,2020.538487,31930,34555,82418,104381,9,146892,183583,14803,1939.857885,276326,10,56.45,79.3,100.48,NA
2025-2026,July,31,UTTAR PRADESH,3124,BUDAUN,1228992,251.2139659,21,268,39.00882,1855,72,20258,869042,153996,35163,640,161,0,2222.163694,41149,43970,135458,175694,4,238308,302439,22113,2183.154874,196108,18,67.08,74.3,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3126,PILIBHIT,907021,249.1227289,17,381,103.2135298,3367,36,17062,905055,170003,39306,4227,596,0,2357.911244,50417,58849,138435,217278,9,250198,368700,20429,2254.697714,189661,22,43.37,71.74,100.17,NA
2025-2026,July,31,UTTAR PRADESH,3128,KHERI,2432200,252.393816,22,296,223.76522,8163,3,34011,2003302,782460,137383,22048,6521,0,5279.975585,87496,101780,248560,368360,112,496805,692643,42174,5056.210365,565332,26,37.14,91.31,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3129,SITAPUR,1936765,254.8122298,25,726,177.0223247,8633,37,42470,2606453,987988,188362,3131,389,0,6818.583331,104231,122813,323622,472419,91,673644,935840,51103,6641.561007,860936,33,43.12,75.43,100.08,NA
2025-2026,July,31,UTTAR PRADESH,3130,HARDOI,2162423,255.4256427,25,374,96.728587,7308,29,34705,2349094,780045,106794,2015,450,0,6096.917035,93821,102545,235945,318907,82,460048,601571,42013,6000.188448,866584,19,44.55,79.02,100.2,NA
2025-2026,July,31,UTTAR PRADESH,3136,KANPUR DEHAT,561112,251.565767,18,87,58.551049,2103,36,16433,325059,118678,44911,245,109,0,876.2882155,17438,19017,79126,108239,1,159540,207550,18536,817.7371665,110014,29,35.04,55.8,100.55,NA
2025-2026,July,31,UTTAR PRADESH,3144,PRATAPGARH,1511875,263.6219186,28,221,95.51888,8153,59,23383,1744106,657614,94641,4987,541,0,4693.364579,61485,64058,194609,249611,9,360336,459723,31536,4597.845699,929278,27,43.96,88.29,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3145,PRAYAGRAJ,1501702,250.759964,21,131,133.4793832,7971,7,26835,1314965,637954,150834,709,137,0,3430.885144,60478,69835,220230,319351,65,469476,647114,34806,3297.405761,635364,25,51.5,80.48,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,3459734,251.1741978,31,176,63.74924,3248,18,25419,4670854,1117147,82227,302,17,0,11795.7293,146516,161177,257037,348982,48,382910,510267,28667,11731.98006,2747112,13,69.92,89.47,100,NA
2025-2026,July,31,UTTAR PRADESH,3152,MAHARAJGANJ,2568049,254.7074852,27,308,49.80542,4514,1,29910,3284018,737901,75772,14847,1737,0,8414.445081,118884,137819,227058,336941,125,375856,531100,34424,8364.639661,1777912,17,62.47,90.31,100,NA
2025-2026,July,31,UTTAR PRADESH,3159,BALLIA,892094,242.6916963,27,146,61.346694,6111,61,21211,1543656,348592,45499,52727,7323,0,3807.671626,57041,63911,156639,201441,22,318860,398125,27322,3746.324932,704531,23,73.84,91.01,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3166,HATHRAS,270114,246.0194587,19,42,22.6937712,566,18,7452,384705,125806,21748,362,51,0,969.1429296,19865,22597,47754,65393,1,81685,106025,8018,946.4491584,92697,5,58.43,80.15,100,NA
2025-2026,July,31,UTTAR PRADESH,3170,KAUSHAMBI,510168,242.9184644,23,81,13.6562,1043,29,11965,570300,276906,49445,481,68,0,1399.020202,24287,27720,76455,106680,2,143166,189439,13008,1385.364002,297911,38,39.9,87.51,101.36,NA
2025-2026,July,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2141261,253.5205245,29,199,86.8357792,6573,32,18601,2430673,794661,74870,3161,217,0,6249.090718,83437,89578,178050,224048,20,266482,336616,25174,6162.254939,1355458,35,59.32,94.21,100,NA
2025-2026,July,31,UTTAR PRADESH,3183,SHAMLI,75196,248.8737539,23,54,5.62265,545,31,4588,113620,15545,3436,167,54,0,288.3930092,4772,5553,16499,21411,1,48169,58330,5133,282.7703592,39227,12,57.92,79.91,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,130649,243.0925751,17,10,15.5338178,2258,57,4821,129125,32258,11611,284,76,0,329.4271054,7426,8615,31345,41476,4,78109,96990,7079,313.8932876,51048,8,67.31,76.54,100.19,NA
2025-2026,July,31,UTTAR PRADESH,3124,BUDAUN,1228992,250.9678324,20,266,39.00882,1837,74,20175,825413,144920,35143,623,160,0,2110.529934,39965,42646,135379,175585,3,238279,302383,22012,2071.521114,188677,18,65.96,73.35,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3129,SITAPUR,1936765,255.9869598,24,710,177.0223247,8259,44,42293,2442144,924275,188303,2975,389,0,6428.592505,100699,118412,323546,472304,76,673565,935716,50552,6251.57018,807115,33,43.15,76.14,100.07,NA
2025-2026,July,31,UTTAR PRADESH,3131,UNNAO,715266,254.1532448,24,110,33.75496,1507,33,21916,928483,320122,60151,2362,289,0,2393.524632,38484,41134,122120,162603,24,273665,353949,23423,2359.769672,338353,25,43.61,71.42,100.01,NA
2025-2026,July,31,UTTAR PRADESH,3133,RAE BARELI,879610,242.5270589,19,164,109.0736515,3584,10,21801,880195,500820,125864,428,142,0,2243.784698,45056,50097,154871,244655,12,305850,442113,25385,2134.711046,434139,12,48.11,69.92,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3141,HAMIRPUR,1109397,249.3755458,30,106,19.76854,678,0,16236,1481413,287424,40913,968,76,0,3714.050294,49125,65807,114152,184466,62,179526,288012,16914,3694.281754,642876,44,54.81,91.53,100,NA
2025-2026,July,31,UTTAR PRADESH,3148,BARABANKI,1989751,258.2961841,27,278,593.4455681,3845,24,26189,2047815,896416,122983,1478,125,0,5882.873571,73297,83039,205850,280595,83,380124,496851,30034,5289.428003,704652,18,50.84,89.5,100.62,NA
2025-2026,July,31,UTTAR PRADESH,3166,HATHRAS,270114,244.4217518,18,42,22.6937712,563,18,7390,365358,119881,21737,352,51,0,915.7081952,19557,22217,47734,65361,1,81666,106005,7953,893.014424,87928,5,61.65,84.82,100,NA
2025-2026,July,31,UTTAR PRADESH,3168,KANNAUJ,706732,251.1730353,20,105,50.6250858,1172,17,13038,567974,156435,38099,266,19,0,1477.222622,27642,30185,89306,114812,3,140771,175629,14210,1426.597536,193443,22,68.69,85.98,100.2,NA
2025-2026,July,31,UTTAR PRADESH,3170,KAUSHAMBI,510168,243.5142951,22,80,13.6562,1039,30,11916,538032,260408,49435,459,68,0,1323.841032,23624,26848,76440,106660,2,143128,189391,12955,1310.184832,280818,38,38.68,87.31,101.44,NA
2025-2026,July,31,UTTAR PRADESH,3172,KUSHI NAGAR,1375476,253.9847698,26,376,110.6263148,7400,35,26588,2205041,559002,67116,16322,1810,0,5711.094623,82057,96218,183352,257963,49,385371,519049,33988,5600.468309,952931,22,64.53,81.06,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,458885,252.0716342,21,41,32.23877,520,6,9317,423715,160899,35703,946,296,0,1100.304095,19657,22413,65306,90062,11,123049,162561,9837,1068.065325,230876,33,58.93,86.1,100.08,NA
2025-2026,July,31,UTTAR PRADESH,3175,BALRAMPUR,1153650,251.6183988,21,205,32.0445907,2644,11,21096,1059454,283214,46999,18324,3959,0,2697.825782,49432,53550,131181,186337,13,184226,254580,23740,2665.781191,450559,20,65.12,88.07,100.06,NA
2025-2026,July,31,UTTAR PRADESH,3112,SAHARANPUR,438956,254.185491,15,16,46.1998548,740,15,15168,536337,240076,66080,1026,279,0,1409.490692,34482,39109,85167,127687,5,165223,228693,15908,1363.290837,215567,19,75.26,82.08,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3117,BULANDSHAHR,140915,235.3535588,19,42,15.71288,387,86,10836,217859,46486,9570,110,40,0,528.4517896,11386,11968,36753,45918,6,90009,110019,11223,512.7389096,82437,7,70.77,80.06,100.13,NA
2025-2026,July,31,UTTAR PRADESH,3119,MATHURA,963913,248.7973135,27,59,30.40799,1749,42,13633,1241409,338026,36211,2288,232,0,3119.000232,45388,54077,88845,119605,21,144309,192151,15382,3088.592242,528181,14,65.58,80.07,100,NA
2025-2026,July,31,UTTAR PRADESH,3122,ETAH,451884,251.7942695,23,105,80.6806023,1760,26,13015,749852,144254,20870,501,53,0,1968.764968,31628,34228,82410,104366,7,146892,183580,14775,1888.084366,267269,10,56.06,78.94,100.49,NA
2025-2026,July,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1004169,247.7888823,19,610,25.2486586,3228,27,18972,1000521,289867,67293,476,85,0,2504.428462,51309,57509,161639,227511,7,344981,450258,22200,2479.179803,213389,20,71.69,76.18,100.06,NA
2025-2026,July,31,UTTAR PRADESH,3129,SITAPUR,1936765,256.2807204,24,723,177.0223247,8582,40,42370,2548801,964525,188340,3080,389,0,6709.107889,102876,121128,323597,472384,88,673630,935823,50952,6532.085564,841810,33,42.78,75.27,100.08,NA
2025-2026,July,31,UTTAR PRADESH,3130,HARDOI,2162423,255.5115667,24,373,96.728587,7287,29,34665,2297291,763264,106792,1978,450,0,5966.572814,92925,101504,235936,318890,56,459996,601503,41952,5869.844227,847661,19,44.33,78.89,100.19,NA
2025-2026,July,31,UTTAR PRADESH,3140,LALITPUR,1593196,248.850565,27,138,18.0772687,2611,1,17790,1531956,345970,55183,75249,15185,0,3830.35843,55754,75759,127277,216324,127,189070,308669,20401,3812.281161,678560,41,37.94,85.74,100.17,NA
2025-2026,July,31,UTTAR PRADESH,3144,PRATAPGARH,1511875,263.8777871,28,220,95.51888,8115,59,23356,1707868,643083,94625,4924,541,0,4602.203166,60727,63243,194596,249593,9,360321,459704,31471,4506.684286,910746,27,43.04,87.98,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3149,AYODHYA,1021733,263.1728716,23,78,29.89886,4612,19,19624,1233633,501808,71291,2295,256,0,3276.486251,52588,56966,129130,181585,16,233482,311475,24236,3246.587391,618801,17,31.31,91.32,100.01,NA
